mixs_context_label	mixs_environment_label	ontology_term_id	ontology_term_label	claude-3-opus-20240229 2024-05-03T14:42	gemini-1.5-pro-latest 2024-05-02T12:15	gemini-1.5-pro-latest 2024-05-02T13:27	gemini-1.5-pro-latest 2024-05-02T13:51	gemini-1.5-pro-latest 2024-05-02T14:03	gemini-1.5-pro-latest 2024-05-02T16:01
env_broad_scale	Sediment	ENVO_00002030	aquatic biome					confidence:0.9|comment:High confidence as sediments are typically associated with aquatic environments, but allowing for some uncertainty as not all aquatic biomes have significant sediment deposition.	
env_broad_scale	Sediment	ENVO_00000447	marine biome					confidence:0.9|comment:High confidence due to the presence of sediments in various marine ecosystems, but acknowledging potential variations in sediment types and distribution across different marine zones.	
env_broad_scale	Sediment	ENVO_00000873	freshwater biome					confidence:0.8|comment:Moderate to high confidence as sediments are found in many freshwater environments, but considering potential variations in sediment deposition and the influence of water flow and currents.	
env_medium	Soil	ENVO_00001998	soil					confidence:1.0|comment:	
env_medium	Soil	ENVO_00002871	alluvial soil					confidence:0.9|comment:	
env_medium	Soil	ENVO_00003082	enriched soil					confidence:0.8|comment:	
env_medium	Soil	ENVO_01001526	frozen soil					confidence:0.9|comment:	
env_medium	Water	ENVO_00002006	liquid water					confidence:1.0|comment:	
env_medium	Water	ENVO_00002010	saline water					confidence:0.9|comment:	
env_medium	Water	ENVO_00002011	fresh water					confidence:0.9|comment:	
env_medium	Water	ENVO_00002019	brackish water					confidence:0.8|comment:	
env_medium	Air	ENVO_01000797	gaseous environmental material					confidence:1.0|comment:	
env_medium	Air	ENVO_00010505	aerosol					confidence:1.0|comment:	
env_medium	Air	ENVO_01001089	aerosolized solids					confidence:0.9|comment:	
env_medium	Air	ENVO_01001088	aerosolized liquids					confidence:0.8|comment:	
env_medium	HostAssociated	ENVO_02000019	bodily fluid material					confidence:0.9|comment:High confidence as bodily fluids are often the immediate medium surrounding samples from host-associated environments, but allowing for some uncertainty due to potential variations in sample types and collection methods.	
env_medium	BuiltEnvironment	ENVO_0010001	anthropogenic environmental material					confidence:0.9|comment:	
env_medium	BuiltEnvironment	ENVO_01000814	solid environmental material					confidence:0.8|comment:	
env_medium	BuiltEnvironment	ENVO_01000458	concrete					confidence:0.8|comment:	
env_medium	BuiltEnvironment	ENVO_01000474	brick material					confidence:0.8|comment:	
env_medium	BuiltEnvironment	ENVO_01000476	plaster					confidence:0.7|comment:	
env_medium	BuiltEnvironment	ENVO_01000480	glass					confidence:0.7|comment:	
env_medium	BuiltEnvironment	ENVO_00002040	wood					confidence:0.8|comment:	
env_medium	BuiltEnvironment	ENVO_01001069	metal					confidence:0.7|comment:	
env_medium	BuiltEnvironment	ENVO_00002008	dust					confidence:0.7|comment:	
env_medium	BuiltEnvironment	ENVO_06105101	plastic					confidence:0.7|comment:	
env_medium	BuiltEnvironment	ENVO_00002001	waste water					confidence:0.7|comment:	
env_medium	BuiltEnvironment	ENVO_00002267	industrial waste material					confidence:0.6|comment:	
env_medium	BuiltEnvironment	ENVO_01000372	household waste material					confidence:0.7|comment:	
env_medium	HydrocarbonResourcesCores	ENVO_00001995	rock					confidence:0.9|comment:High confidence as hydrocarbon resource cores are typically composed of rock materials, but allowing for slight uncertainty as there might be cases with unconsolidated sediments or other materials.	
env_medium	HydrocarbonResourcesFluidsSwabs	ENVO_2000045	hydrocarbon-based environmental material					confidence:0.9|comment:	
env_medium	HydrocarbonResourcesFluidsSwabs	ENVO_00002985	oil					confidence:0.9|comment:	
env_medium	HydrocarbonResourcesFluidsSwabs	ENVO_00002984	petroleum					confidence:0.9|comment:	
env_medium	HydrocarbonResourcesFluidsSwabs	ENVO_01001869	fracking liquid					confidence:0.8|comment:	
env_medium	MicrobialMatBiofilm	ENVO_01000156	biofilm material					confidence:1.0|comment:	
env_medium	MicrobialMatBiofilm	ENVO_01000157	microbial mat material					confidence:1.0|comment:	
env_medium	MiscellaneousNaturalOrArtificialEnvironment	ENVO_00010483	environmental material					confidence:1.0|comment:	
env_medium	PlantAssociated	ENVO_01001121	plant matter					confidence:0.9|comment:High confidence as plant matter is often the immediate medium surrounding samples in plant-associated environments, but allowing for slight uncertainty as other materials like soil or water might also be relevant depending on the specific context.	
env_medium	Sediment	ENVO_00002007	sediment					confidence:1.0|comment:	
env_medium	Sediment	ENVO_00002045	anaerobic sediment					confidence:0.9|comment:	
env_medium	Sediment	ENVO_03000033	marine sediment					confidence:0.9|comment:	
env_medium	Agriculture	ENVO_00001998	soil					confidence:0.9|comment:High confidence as soil is a primary medium in agricultural environments, but allowing for slight uncertainty due to potential variations in agricultural practices and the use of other media like hydroponics.	
env_medium	Agriculture	ENVO_00002191	animal litter					confidence:0.8|comment:	
env_medium	Agriculture	ENVO_03501300	manure					confidence:0.9|comment:	
env_medium	Agriculture	ENVO_02000004	nesting material					confidence:0.7|comment:	
env_medium	Agriculture	ENVO_01000371	agricultural waste material					confidence:0.7|comment:	
env_medium	Agriculture	ENVO_00002276	animal waste material					confidence:0.7|comment:	
env_local_scale	Soil	ENVO_01001785	land						confidence:0.9|comment:
env_local_scale	Soil	ENVO_01001886	landform						confidence:0.8|comment:
env_local_scale	Soil	ENVO_00000013	continent						confidence:0.7|comment:
env_local_scale	Soil	ENVO_00000014	landmass						confidence:0.8|comment:
env_local_scale	Soil	ENVO_00000015	island						confidence:0.8|comment:
env_local_scale	Soil	ENVO_00000016	mountain						confidence:0.7|comment:
env_local_scale	Soil	ENVO_00000017	peninsula						confidence:0.8|comment:
env_local_scale	Soil	ENVO_00000018	isthmus						confidence:0.8|comment:
env_local_scale	Soil	ENVO_01000021	coastal zone						confidence:0.7|comment:
env_local_scale	Soil	ENVO_01000020	intertidal zone						confidence:0.6|comment:
env_local_scale	Soil	ENVO_01000434	plain						confidence:0.8|comment:
env_local_scale	Soil	ENVO_00000019	valley						confidence:0.8|comment:
env_local_scale	Soil	ENVO_00000054	hill						confidence:0.8|comment:
env_local_scale	Soil	ENVO_01000449	plateau						confidence:0.7|comment:
env_local_scale	Soil	ENVO_00000044	dune						confidence:0.8|comment:
env_local_scale	Soil	ENVO_01000404	cliff face						confidence:0.7|comment:
env_local_scale	Soil	ENVO_01000435	rock formation						confidence:0.7|comment:
env_local_scale	Water	ENVO_01000813	water body						confidence:0.9|comment:
env_local_scale	Water	ENVO_01001788	hydroform						confidence:0.9|comment:
env_local_scale	Water	ENVO_00000045	estuary						confidence:0.9|comment:
env_local_scale	Water	ENVO_00000059	underground river						confidence:0.8|comment:
env_local_scale	Water	ENVO_00000015	island						confidence:0.7|comment:Moderate confidence as islands can influence local water conditions and currents, but acknowledging that they are not directly part of the water body itself.
env_local_scale	Water	ENVO_00000017	peninsula						confidence:0.7|comment:Moderate confidence as peninsulas can affect local water circulation and coastal processes, but recognizing that they are not directly within the water body.
env_local_scale	Water	ENVO_01000021	coastal zone						confidence:0.8|comment:
env_local_scale	Agriculture	ENVO_00000114	agricultural field	confidence:0.9|comment:					
env_local_scale	Agriculture	ENVO_00000117	plantation	confidence:0.8|comment:The term plantation can refer to large-scale, commercial crops like sugarcane or cotton, so it may not always fit with smaller scale agricultural systems.					
env_local_scale	Agriculture	ENVO_00000266	pasture	confidence:0.9|comment:					
env_local_scale	Agriculture	ENVO_00000078	farm	confidence:0.9|comment:					
env_local_scale	Agriculture	ENVO_00000115	orchard	confidence:0.9|comment:					
env_local_scale	Agriculture	ENVO_00000116	vineyard	confidence:0.9|comment:					
env_local_scale	Agriculture	ENVO_00000297	freshwater river	confidence:0.7|comment:Rivers near agricultural land could be relevant local environments, but may not always be directly part of the agricultural system.					
env_local_scale	Agriculture	ENVO_00000020	lake	confidence:0.7|comment:Lakes near agricultural land could be relevant local environments, but may not always be directly part of the agricultural system.					
env_local_scale	Agriculture	ENVO_00000033	pond	confidence:0.8|comment:Ponds are often found on farms and can be an important part of agricultural systems.					
env_local_scale	Agriculture	ENVO_00000036	irrigation canal	confidence:0.9|comment:					
env_local_scale	Agriculture	ENVO_00000037	ditch	confidence:0.8|comment:					
env_local_scale	Agriculture	ENVO_00002221	shop	confidence:0.6|comment:Shops may be present on farms for selling agricultural products, but are not necessarily a core part of all agricultural systems.					
env_local_scale	Agriculture	ENVO_00000038	lagoon	confidence:0.5|comment:Lagoons can sometimes be adjacent to agricultural land, especially in coastal areas, but are not a typical feature of most agricultural systems.					
env_local_scale	Agriculture	ENVO_00000044	peatland	confidence:0.6|comment:Peatlands can sometimes be used for agriculture, especially grazing, but are a specialized environment that is not representative of most agricultural systems.					
env_local_scale	Agriculture	ENVO_00000294	fish farm	confidence:0.8|comment:Fish farms are a type of agricultural system focused on aquaculture rather than crops or livestock.					
env_local_scale	Agriculture	ENVO_00000295	fish hatchery	confidence:0.8|comment:Fish hatcheries are often a component of fish farming operations.					
env_local_scale	Agriculture	ENVO_00000296	rice field	confidence:0.9|comment:					
env_local_scale	Agriculture	ENVO_00000935	campground	confidence:0.4|comment:Campgrounds are not typically a direct part of agricultural systems, though they may sometimes be located adjacent to agricultural land.					
env_local_scale	Agriculture	ENVO_00003040	animal house	confidence:0.8|comment:					
env_local_scale	Agriculture	ENVO_00003041	cow shed	confidence:0.9|comment:					
env_local_scale	Agriculture	ENVO_00003042	piggery	confidence:0.9|comment:					
env_local_scale	Agriculture	ENVO_00005745	allotment garden	confidence:0.8|comment:					
env_local_scale	BuiltEnvironment	ENVO_00000073	building	confidence:0.9|comment:					
env_local_scale	BuiltEnvironment	ENVO_00002173	hospital	confidence:0.9|comment:					
env_local_scale	BuiltEnvironment	ENVO_00003861	industrial building	confidence:0.9|comment:					
env_local_scale	BuiltEnvironment	ENVO_00000064	road	confidence:0.9|comment:					
env_local_scale	BuiltEnvironment	ENVO_00000074	dam	confidence:0.8|comment:					
env_local_scale	BuiltEnvironment	ENVO_00000075	bridge	confidence:0.8|comment:					
env_local_scale	BuiltEnvironment	ENVO_00000070	human construction	confidence:0.7|comment:This is a broad term that encompasses many types of built structures, so it may not always provide the most specific or informative label for a local environment.					
env_local_scale	BuiltEnvironment	ENVO_00000065	railway	confidence:0.9|comment:					
env_local_scale	BuiltEnvironment	ENVO_00000467	constructed barrier	confidence:0.7|comment:Constructed barriers like walls and fences are common features of built environments, but may not always be the most salient or informative labels for a local environment.					
env_local_scale	BuiltEnvironment	ENVO_00000469	research facility	confidence:0.8|comment:					
env_local_scale	BuiltEnvironment	ENVO_00000562	park	"confidence:0.7|comment:Parks and green spaces are important parts of built environments, but may not always be considered ""built"" in the same sense as buildings and infrastructure."					
env_local_scale	BuiltEnvironment	ENVO_00000566	winter sports facility	confidence:0.6|comment:Winter sports facilities are a specialized type of built environment that may not be representative of built environments in general.					
env_local_scale	Soil	ENVO_00001998	soil	confidence:0.9|comment:					
env_local_scale	Soil	ENVO_00002007	soil layer	confidence:0.9|comment:					
env_local_scale	Soil	ENVO_00005801	rhizosphere	confidence:0.9|comment:					
env_local_scale	Soil	ENVO_00005802	rhizosphere soil	confidence:0.9|comment:					
env_local_scale	Soil	ENVO_00000213	soil horizon	confidence:0.8|comment:					
env_local_scale	Soil	ENVO_00000043	wetland area	confidence:0.7|comment:Wetland soils are a specific type of soil that may not be representative of all soil environments, but are still relevant to the Soil extension.					
env_local_scale	Soil	ENVO_00000044	peatland	confidence:0.7|comment:Peatlands are a specific type of wetland with distinctive soil characteristics, but may not be representative of all soil environments.					
env_local_scale	Soil	ENVO_00000097	desert area	confidence:0.7|comment:Desert soils are a specific type of soil that may not be representative of all soil environments, but are still relevant to the Soil extension.					
env_local_scale	Soil	ENVO_00000109	woodland area	confidence:0.8|comment:Woodland soils are influenced by the presence of trees and may have distinctive characteristics compared to soils in other environments.					
env_local_scale	Soil	ENVO_00000112	area of tundra	confidence:0.7|comment:Tundra soils are a specific type of soil that may not be representative of all soil environments, but are still relevant to the Soil extension.					
env_local_scale	Soil	ENVO_00000114	agricultural field	confidence:0.9|comment:					
env_local_scale	Soil	ENVO_00000139	irrigation ditch	confidence:0.7|comment:Irrigation ditches are associated with agricultural soils and can influence their properties, but are not soil environments per se.					
