class,alternative_term,comment,definition,editor_note,has_broad_synonym,has_exact_synonym,has_narrow_synonym,has_related_synonym,hasSynonym,in_subset,label,superclasses
ENVO_01000215,,"Preliminary definition. The semantics and definitions of ""mediterranean"", ""subtropical"", ""tropical"", ""temperate"", ""polar"", and similar climate types may be transferred to an ""environmental condition"" class once the semantics of this class have been established.",A shrubland biome which is subject to temperate climate patterns.,,prairie biome,,,,,,temperate shrubland biome,"ENVO_01000176, ENVO_01001831"
ENVO_01000221,,"Preliminary definition. The semantics and definitions of ""mediterranean"", ""subtropical"", ""tropical"", ""temperate"", ""polar"", and similar climate types may be transferred to an ""environmental condition"" class once the semantics of this class have been established.",A woodland biome which is subject to temperate climate patterns.,,,,,,,,temperate woodland biome,"ENVO_01000175, ENVO_01001831"
ENVO_01000856,,,A marginal sea biome which is located in a region with a temperate climate.,A component of the WWF Temperate Shelf and seas ecoregions grouping,,,,,,wwfBiome,temperate marginal sea biome,"ENVO_01000046, ENVO_01001831"
ENVO_01000860,,,A marine upwelling biome which is located in a region subject to temperate climate patterns.,,,,,,,wwfBiome,temperate marine upwelling biome,"ENVO_01001831, ENVO_01000858"
ENVO_01000188,,"Preliminary definition. The semantics and definitions of ""mediterranean"", ""subtropical"", ""tropical"", ""temperate"", ""polar"", and similar climate types may be transferred to an ""environmental condition"" class once the semantics of this class have been established.",A savanna biome which is subject to tropical climate patterns.,,,,,,,wwfBiome,tropical savanna biome,"ENVO_01000178, ENVO_01001830"
ENVO_01000192,,"Preliminary definition. The semantics and definitions of ""mediterranean"", ""subtropical"", ""tropical"", ""temperate"", ""polar"", and similar climate types may be transferred to an ""environmental condition"" class once the semantics of this class have been established.",,,,,,,,wwfBiome,tropical grassland biome,"ENVO_01000177, ENVO_01001830, ENVO_01001806"
ENVO_01000200,,,A tropical broadleaf forest in which dominant ecological communities have reached their climax successional state.,,,,,,,,tropical broadleaf forest biome,"ENVO_01001830, ENVO_01000197, ENVO_01001792"
ENVO_01000210,,"Preliminary definition. The semantics and definitions of ""mediterranean"", ""subtropical"", ""tropical"", ""temperate"", ""polar"", and similar climate types may be transferred to an ""environmental condition"" class once the semantics of this class have been established.",A coniferous forest biome which is subject to tropical climate patterns.,,,,,,,wwfBiome,tropical coniferous forest biome,"ENVO_01001830, ENVO_01000196, ENVO_01000399"
ENVO_01000214,,"Preliminary definition. The semantics and definitions of ""mediterranean"", ""subtropical"", ""tropical"", ""temperate"", ""polar"", and similar climate types may be transferred to an ""environmental condition"" class once the semantics of this class have been established.",A shrubland biome which is subject to tropical climate patterns.,,,,,,,wwfBiome,tropical shrubland biome,"ENVO_01000176, ENVO_01001830"
ENVO_01000220,,"Preliminary definition. The semantics and definitions of ""mediterranean"", ""subtropical"", ""tropical"", ""temperate"", ""polar"", and similar climate types may be transferred to an ""environmental condition"" class once the semantics of this class have been established.",A woodland biome which is subject to tropical climate patterns.,,,,,,,,tropical woodland biome,"ENVO_01000175, ENVO_01001830"
ENVO_01000854,,,A marine coral reef biome which is located in a region with a tropical climate.,,,,,,,wwfBiome,tropical marine coral reef biome,"ENVO_01000049, ENVO_01001830"
ENVO_01000859,,,A marine upwelling biome which is subject to tropical climate patterns.,,,,,,,wwfBiome,tropical marine upwelling biome,"ENVO_01001830, ENVO_01000858"
ENVO_01001230,,,A marginal sea biome which is located in a region with a tropical climate.,A class which is complementary to the WWF Temperate Shelf and Seas ecoregions grouping,,,,,,,tropical marginal sea biome,"ENVO_01000046, ENVO_01001830"
ENVO_01001798,,,A tropical mixed forest in which dominant ecological communities have reached their climax successional state.,,,,,,,wwfBiome,tropical mixed forest biome,"ENVO_01001830, ENVO_01000198, ENVO_01001797"
ENVO_01001833,,,A biome which is subject to mediterranean climatic conditions.,,,,,,,,mediterranean biome,ENVO_01001832
ENVO_01000187,,"Preliminary definition. The semantics and definitions of ""mediterranean"", ""subtropical"", ""tropical"", ""temperate"", ""polar"", and similar climate types may be transferred to an ""environmental condition"" class once the semantics of this class have been established.",A savanna biome which is subject to subtropical climate patterns.,,,,,,,wwfBiome,subtropical savanna biome,"ENVO_01000178, ENVO_01001832"
ENVO_01000191,,,A subtropical grassland in which dominant ecological communities have reached their climax successional state.,,,,,,,wwfBiome,subtropical grassland biome,"ENVO_01000177, ENVO_01001832, ENVO_01001809"
ENVO_01000201,,,A subtropical broadleaf forest in which dominant ecological communities have reached their climax successional state.,,,,,,,,subtropical broadleaf forest biome,"ENVO_01001832, ENVO_01000197, ENVO_01001793"
ENVO_01000222,,"Preliminary definition. The semantics and definitions of ""mediterranean"", ""subtropical"", ""tropical"", ""temperate"", ""polar"", and similar climate types may be transferred to an ""environmental condition"" class once the semantics of this class have been established.",A woodland biome which is subject to subtropical climate patterns.,,,,,,,,subtropical woodland biome,"ENVO_01000175, ENVO_01001832"
ENVO_01000209,,"Preliminary definition. The semantics and definitions of ""mediterranean"", ""subtropical"", ""tropical"", ""temperate"", ""polar"", and similar climate types may be transferred to an ""environmental condition"" class once the semantics of this class have been established.",A coniferous forest biome which is subject to subtropical climate patterns.,,,,,,,wwfBiome,subtropical coniferous forest biome,"ENVO_01001832, ENVO_01000196, ENVO_01001804"
ENVO_01000213,,"Preliminary definition. The semantics and definitions of ""mediterranean"", ""subtropical"", ""tropical"", ""temperate"", ""polar"", and similar climate types may be transferred to an ""environmental condition"" class once the semantics of this class have been established.",A shrubland biome which is subject to subtropical climate patterns.,,,,,,,wwfBiome,subtropical shrubland biome,"ENVO_01000176, ENVO_01001832"
ENVO_01000194,,Preliminary definition.,A montane grassland biome is a grassland biome which occurs in regions elevated above sea level and which has community structure determined by elevation-dependent environmental conditions.,,,,,,,wwfBiome,montane grassland biome,"ENVO_01000177, ENVO_01001836, ENVO_01001808"
ENVO_01000216,,Preliminary definition.,A montane shrubland biome is a shrubland biome which occurs in regions elevated above sea level and which has community structure determined by elevation-dependent environmental conditions.,,,,,,,wwfBiome,montane shrubland biome,"ENVO_01000176, ENVO_01001836"
ENVO_01000223,,Preliminary definition.,A montane savanna biome is a savanna biome which occurs in regions elevated above sea level and which has community structure determined by elevation-dependent environmental conditions.,,,,,,,,montane savanna biome,"ENVO_01000178, ENVO_01001836"
ENVO_01000249,,,An urban biome is a dense settlement biome which has been urbanised.,,,,,,,,urban biome,ENVO_01000248
ENVO_01000250,,,A  coniferous forest biome which includes communities adapted to subpolar conditions.,,,,taiga,,,wwfBiome,subpolar coniferous forest biome,"ENVO_01000196, ENVO_01001834"
ENVO_01000250,,,A  coniferous forest biome which includes communities adapted to subpolar conditions.,,,,boreal forest,,,wwfBiome,subpolar coniferous forest biome,"ENVO_01000196, ENVO_01001834"
ENVO_01001505,,"The absence of trees in this biome is primarily due to high altitude rather than high latitude. On Earth, it lies roughly between the summer isotherm of 10 degrees Centigrade and the snow line. Primary productivity is low in this biome because of the extremes of climate.","A tundra biome which exists at high altitudes and where vegetation - dominated by a few species of dwarf shrubs, a few grasses, sedges, lichens, and mosses - is stunted due to low temperatures and high winds.",,,mountain tundra,,,,envoPolar,alpine tundra biome,"ENVO_01000180, ENVO_01001835"
ENVO_01000196,,Preliminary definition.,"A coniferous forest biome is a forest biome which contains densely packed populations or communities of coniferous trees, strongly limiting light penetration to the forest floor.",,,,,,,,coniferous forest biome,"ENVO_01000174, ENVO_01000433"
ENVO_01000197,,,A broadleaf forest ecosystem which is undergoing climactic ecological succession.,,,,,,,,broadleaf forest biome,"ENVO_01000174, ENVO_01000430"
ENVO_01000198,,,A mixed forest in which dominant ecological communities have reached their climax successional state.,,,,,,,wwfBiome,mixed forest biome,"ENVO_01000174, ENVO_01000431"
ENVO_01000199,,,A mediterranean forest in which dominant ecological communities have reached their climax successional state.,,,,,,,wwfBiome,mediterranean forest biome,"ENVO_01001833, ENVO_01000174, ENVO_01001791"
ENVO_01000178,,,"A woodland biome which has seasonal water availability and includes trees spaced sufficiently far apart to allow an unbroken layer of grass, sedge (Cyperaceae) or  rush (Juncaceae) communities to live.",,,,,,,,savanna biome,ENVO_01000175
ENVO_01000218,,"Preliminary definition. The semantics and definitions of ""mediterranean"", ""subtropical"", ""tropical"", ""temperate"", ""polar"", and similar climate types may be transferred to an ""environmental condition"" class once the semantics of this class have been established.",,,,,,,,wwfBiome,xeric shrubland biome,ENVO_01000176
ENVO_01001369,,"This class aligns to the Coastal and Marine Ecological Classification Standard (CMECS). In ENVO, we may adapt the definition for consistency, but the semantics (meaning) of the term should be unaffected. Please consult the CMECS catalogue (https://cmecscatalog.org/) for authoritative and semantically unconstrained definitions. CMECS provides the following notes: ""Commonly found on intertidal mud flats along the shores of estuaries. Tidal mangrove shrublands may include immature stands or stunted mature trees that indicate a harsh growing environment. Areas characterized by tall mangroves (> 6 meters) are placed in the Tidal Mangrove Forest Biotic Group. Where tidal amplitude is relatively low, the vegetation forms narrow bands along the coastal plains, and it rarely penetrates inland more than several kilometers along rivers. Where tidal amplitude is greater, mangroves extend further inland along river courses, forming extensive stands in the major river deltas. Also, mangrove cays may occur within the lagoon complex of barrier reefs. The list of biotic communities for this group is long: a few examples are provided below, and the complete list is available in Appendix F""","A shrubland biome which is densely vegetated by dwarf or short mangroves (and associates) that are generally less than 6 meters in height, is tidally influenced,  is located in tropical or subtropical areas.",,,,,,,envoCmecs,tidal mangrove shrubland,ENVO_01000176
ENVO_01001369,,"This class aligns to the Coastal and Marine Ecological Classification Standard (CMECS). In ENVO, we may adapt the definition for consistency, but the semantics (meaning) of the term should be unaffected. Please consult the CMECS catalogue (https://cmecscatalog.org/) for authoritative and semantically unconstrained definitions. CMECS provides the following notes: ""Commonly found on intertidal mud flats along the shores of estuaries. Tidal mangrove shrublands may include immature stands or stunted mature trees that indicate a harsh growing environment. Areas characterized by tall mangroves (> 6 meters) are placed in the Tidal Mangrove Forest Biotic Group. Where tidal amplitude is relatively low, the vegetation forms narrow bands along the coastal plains, and it rarely penetrates inland more than several kilometers along rivers. Where tidal amplitude is greater, mangroves extend further inland along river courses, forming extensive stands in the major river deltas. Also, mangrove cays may occur within the lagoon complex of barrier reefs. The list of biotic communities for this group is long: a few examples are provided below, and the complete list is available in Appendix F""","A shrubland biome which is densely vegetated by dwarf or short mangroves (and associates) that are generally less than 6 meters in height, is tidally influenced,  is located in tropical or subtropical areas.",,,,,,,envoMarine,tidal mangrove shrubland,ENVO_01000176
ENVO_01000195,,,,,,,,,,wwfBiome,flooded grassland biome,"ENVO_01000177, ENVO_01001807"
ENVO_01000245,,,A cropland ecosystem which is undergoing climactic ecological succession.,,,,,,,,cropland biome,"ENVO_01000219, ENVO_01001244"
ENVO_01000247,,,A rangeland biome is an anthropogenic terrestrial biome which is primarily used for the rearing and grazing of livestock.,,,,,,,,rangeland biome,ENVO_01000219
ENVO_01000047,,,The mediterranean sea biome comprises mostly enclosed seas that have limited exchange of deep water with outer oceans and where the water circulation is dominated by salinity and temperature differences rather than winds.,,,,,,,,mediterranean sea biome,"ENVO_00000447, ENVO_01001833"
ENVO_01000020,,,Expressions of the estuarine biome occur at wide lower courses of a rivers where they flow into a sea. Estuaries experience tidal flows and their water is a changing mixture of fresh and salt.,,,,,,,,estuarine biome,ENVO_00000447
ENVO_01000022,,,"The marine salt marsh biome comprises marshes that are transitional intertidals between land and salty or brackish marine water (e.g.: sloughs, bays, estuaries). It is dominated by halophytic (salt tolerant) herbaceous plants. The daily tidal surges bring in nutrients, which tend to settle in roots of the plants within the salt marsh. The natural chemical activity of salty (or brackish) water and the tendency of algae to bloom in the shallow unshaded water also allow for great biodiversity.",,,,,,,,marine salt marsh biome,ENVO_00000447
ENVO_01000023,,,"The marine pelagic biome (pelagic meaning open sea) is that of the marine water column, from the surface to the greatest depths.",,,,,,,envoPolar,marine pelagic biome,ENVO_00000447
ENVO_01000024,,,"The marine benthic biome (benthic meaning 'bottom') encompasses the seafloor and includes such areas as shores, littoral or intertidal areas, marine coral reefs, and the deep seabed.",,,,,,,envoPolar,marine benthic biome,ENVO_00000447
ENVO_01000045,,,"The epeiric sea (also known as an epicontinental sea) biome comprises a shallow seas that extend over part of a continent. Epeiric seas are usually associated with the marine transgressions of the geologic  past, which have variously been due to either global eustatic sea level changes, local tectonic deformation, or both, and are occasionally semi-cyclic.",,,epicontinental sea biome,,,,,epeiric sea biome,ENVO_00000447
ENVO_01000046,,,"The marginal sea biome comprises parts of an ocean partially enclosed by land such as islands, archipelagos, or peninsulas. Unlike mediterranean seas, marginal seas have ocean currents caused by ocean winds. Many marginal seas are enclosed by island arcs that were formed from the subduction of one oceanic plate beneath another.",,,,,,,,marginal sea biome,ENVO_00000447
ENVO_01000048,,"Ocean biomes are determined by major bodies of saline water, principal components of the hydrosphere. Approximately 71% of the Earth's surface is covered by ocean, a continuous body of water that is customarily divided into several principal oceans and smaller seas. More than half of this area is over 3,000 metres (9,800 ft) deep. Average oceanic salinity is around 35 parts per thousand (ppt) (3.5%), and nearly all seawater has a salinity in the range of 30 to 38 ppt.",A marine biome which is determined by an ocean.,,,,,,,envoPolar,ocean biome,ENVO_00000447
ENVO_01000858,,,A marine biome which contains communities adapted to living in an environment determined by an upwelling process.,,,,,,,,marine upwelling biome,ENVO_00000447
ENVO_01000253,,,A freshwater biome which is determined by a freshwater river.,,,,,,,,freshwater river biome,ENVO_00000873
ENVO_01000252,,,A biome which is determined by a freshwater lake.,,,,,,,,freshwater lake biome,ENVO_00000873
ENVO_00000893,,,A biome which has little permanent surface water and a low relative abundance of springs.,"The WWF definition is somewhat ambiguous, but workable.",,,,,,wwfBiome,xeric basin biome,ENVO_00000873
ENVO_03605008,,,A freshwater stream ecosystem which is undergoing climactic ecological succession.,,,,,,,,freshwater stream biome,"ENVO_00000873, ENVO_03605009"
ENVO_01000227,,,A tropical dry broadleaf forest in which dominant ecological communities have reached their climax successional state.,,,,,,,wwfBiome,tropical dry broadleaf forest biome,"ENVO_01000200, ENVO_01001799"
ENVO_01000228,,,A tropical moist broadleaf forest in which dominant ecological communities have reached their climax successional state.,,,,,rainforest biome,,wwfBiome,tropical moist broadleaf forest biome,"ENVO_01000200, ENVO_01001800"
ENVO_01000208,,"Preliminary definition. The semantics and definitions of ""mediterranean"", ""subtropical"", ""tropical"", ""temperate"", ""polar"", and similar climate types may be transferred to an ""environmental condition"" class once the semantics of this class have been established.","A subtropical woodland biome which includes communities adapted to hot to warm, dry summers, mild to cold, rainy winters, and the influence of large, usually marine, bodies of water.",,,,,,,,mediterranean woodland biome,"ENVO_01001833, ENVO_01000222"
ENVO_01000217,,"Preliminary definition. The semantics and definitions of ""mediterranean"", ""subtropical"", ""tropical"", ""temperate"", ""polar"", and similar climate types may be transferred to an ""environmental condition"" class once the semantics of this class have been established.","A mediterranean shrubland biome is a subtropical shrubland biome which includes communities adapted to hot to warm, dry summers, mild to cold, rainy winters, and the influence of large, usually marine, bodies of water.",,,,,,,wwfBiome,mediterranean shrubland biome,"ENVO_01001833, ENVO_01000213"
ENVO_01000224,,"Preliminary definition. The semantics and definitions of ""mediterranean"", ""subtropical"", ""tropical"", ""temperate"", ""polar"", and similar climate types may be transferred to an ""environmental condition"" class once the semantics of this class have been established.","A subtropical grassland biome which includes communities adapted to hot to warm, dry summers, mild to cold, rainy winters, and the influence of large, usually marine, bodies of water.",,,,,,,,mediterranean grassland biome,"ENVO_01001833, ENVO_01000191, ENVO_01001810"
ENVO_01000229,,,A savanna biome which is subject to mediterranean climate patterns.,,,,,,,wwfBiome,mediterranean savanna biome,"ENVO_01001833, ENVO_01000187"
ENVO_01000225,,,A subtropical dry broadleaf forest in which dominant ecological communities have reached their climax successional state.,,,,,,,wwfBiome,subtropical dry broadleaf forest biome,"ENVO_01000201, ENVO_01001801"
ENVO_01000226,,,A subtropical moist broadleaf forest in which dominant ecological communities have reached their climax successional state.,,,,,,,wwfBiome,subtropical moist broadleaf forest biome,"ENVO_01000201, ENVO_01001802"
ENVO_01000190,,,A flooded savanna biome is a savanna biome which has very wet to saturated soil moisture content.,,swamp,,,marsh,,wwfBiome,flooded savanna biome,ENVO_01000178
ENVO_01000004,,,The concentration basin mediterranean sea biome comprises expressions of the mediterranean sea biome that have higher salinity than bordering oceans due to evaporation. Water exchange consists of inflow of the fresher oceanic water in the upper layer and outflow of the saltier mediterranean water in the lower layer of the connecting channel.,,,,,,,,concentration basin mediterranean sea biome,ENVO_01000047
ENVO_01000128,,,The dilution basin mediterranean sea biome comprises expressions of the mediterranean sea biome with lower salinity than the surrounding ocean due to freshwater gains such as rainfall and rivers. Water exchange consists of outflow of the fresher mediterranean water in the upper layer and inflow of the saltier oceanic water in the lower layer of the channel. Renewal of deep water may not be sufficient to supply oxygen to the bottom.,,,,,,,,dilution basin mediterranean sea biome,ENVO_01000047
ENVO_01000857,,,A mediterranean sea biome which is subject to temperate climate patterns.,,,,,,,wwfBiome,temperate mediterranean sea biome,ENVO_01000047
ENVO_01000032,,,The neritic epipelagic zone biome comprises the marine water column above a continental shelf.,,,,,,,,neritic pelagic zone biome,ENVO_01000023
ENVO_01000033,,,"The oceanic epipelagic zone biome comprises the marine water column offshore, beyond a continental shelf.",,,,,,,,oceanic pelagic zone biome,ENVO_01000023
ENVO_01000025,,,The marine neritic zone biome comprises sea floor from the high tide mark to a continental shelf break. This zone generally extends to 200 m below average sea level.,,,,,,,envoPolar,marine neritic benthic zone biome,ENVO_01000024
ENVO_01000026,,,The marine bathyal zone biome comprises regions of the marine benthic biome between approximately 200 m and 3000 m depth. This zone generally coincides with the continental slope.,,,,,,,,marine bathyal zone biome,ENVO_01000024
ENVO_01000027,,,The marine abyssal zone biome comprises regions of the marine benthic biome  between approximately 2500 m and 6000 m depth. This zone generally coincides with the continental rise and the abyssal plain.,,,,,,,,marine abyssal zone biome,ENVO_01000024
ENVO_01000028,,,The marine hadal zone biome describes sea floor deeper than 6000 m such as that of the oceanic trenches.,,,,,,,,marine hadal zone biome,ENVO_01000024
ENVO_01000029,,,"A biome expressed by strips or ridges of rocks, sand, or coral that rises to or near the surface of a body of marine water.",,,,,,,,marine reef biome,ENVO_01000024
ENVO_01000030,,,"The marine hydrothermal vent biome comprises regions of the marine benthic biome where heat generated due to tectonic activity, either at divergent plate boundaries or convergent ocean plates where back-arc spreading occurs, is released or 'vented' to the surface. The resultant high temperature water jets are laden with dissolved metals and minerals.",,,,,,,,marine hydrothermal vent biome,ENVO_01000024
ENVO_01000127,,"The marine cold seep biome comprises regions of the marine benthic biome where seepage of methane, hydrogen sulphide, hydrocarbon rich fluids and other fluids occurs.",A marine benthic biome which is determined by a cold seep.,,,,,,,,marine cold seep biome,ENVO_01000024
ENVO_00000887,,"""Large"" is ambiguous. For details on ""Large rivers"" (e.g. the Mekong river) see http://worldwildlife.org/biomes/large-river-ecosystems This class will be replaced with a less ambiguous class.",A freshwater river biome which is determined by a large river.,,,,,,,wwfBiome,large river biome,ENVO_01000253
ENVO_00000888,,"""Large"" is ambiguous. For details on ""Large river headwaters"" (e.g. the Upper Amazon headwaters) see http://worldwildlife.org/biomes/large-river-headwater-ecosystems This class will be replaced with a less ambiguous class.",A freshwater river biome which is determined by the headwaters of a large river.,,,,,,,wwfBiome,large river headwater biome,ENVO_01000253
ENVO_00000889,,"""Large"" is ambiguous. For details on ""Large river deltas"" (e.g. the Niger river delta) see http://worldwildlife.org/biomes/large-river-delta-ecosystems This class will be replaced with a less ambiguous class.",A freshwater river biome which is determined by the delta of a large river.,,,,,,,wwfBiome,large river delta biome,ENVO_01000253
