class,alternative_term,comment,definition,editor_note,has_broad_synonym,has_exact_synonym,has_narrow_synonym,has_related_synonym,hasSynonym,in_subset,label,superclasses
ENVO_01000476,,,"Plaster is a building material which has the disposition to harden when it reacts with water, liberating heat through crystallization. Plaster is manufactured as a dry powder and is mixed with water to form a paste when used.",,,stucco,,,,,plaster,ENVO_0010001
ENVO_01001869,,,A liquid environmental material which is composed primarily of water ammended with thickening agents and proppants.,,,,fracking water,,,,fracking liquid,"ENVO_0010001, ENVO_01000815, ENVO_00003074"
ENVO_02000123,,,"Any liquid, liquefiable, or mastic composition that, after application to a substrate in a thin layer, converts to a solid film. It is most commonly used to protect, color, or provide texture to objects.",,,,,,,,paint,"ENVO_0010001, ENVO_01000815"
ENVO_03501253,,,A soft sulfate mineral composed of calcium sulfate dihydrate.,,,,,,,,gypsum,ENVO_0010001
ENVO_03501324,,"Latex is made by some plants, but synthetic latexes can be manufactured as well.",A stable dispersion (emulsion) of polymer microparticles in an aqueous medium.,,,"Natural rubber, India rubber, Gum elastic, Non-vulcanized rubber",,,,,latex,ENVO_0010001
ENVO_03510055,,"Solvents typically used include acetone, hexane, heptane or toluene.",An environmental material which is composed of elastic polymers mixed in a solvent.,,,cow gum,,,,,rubber cement,"ENVO_0010001, ENVO_00003074, ENVO_2000045"
ENVO_03510056,,,"An environmental material which is 1) composed primarily of methyl cellulose and water, and 2) formulated to fix wallpaper to walls.",,,wallpaper adhesive,,,,,methyl cellulose paste,"ENVO_0010001, ENVO_01000155, ENVO_00003074"
ENVO_03510056,,,"An environmental material which is 1) composed primarily of methyl cellulose and water, and 2) formulated to fix wallpaper to walls.",,,wallpaper paste,,,,,methyl cellulose paste,"ENVO_0010001, ENVO_01000155, ENVO_00003074"
ENVO_03510057,,,"An environmental material which is 1) manufactured and 2) primarily composed of hydrogen peroxide and ammonia, and 3) when applied to hair, can alter the natural hair pigments for 6-8 weeks.",,,,,hair color,,,permanent hair dye,"ENVO_0010001, ENVO_00003074"
ENVO_03510058,,,"A colorant fluid which is 1) manufactured and 2) composed of alcohol, titanium dioxide, and propylene glycol.",,,,,,,,pharmaceutical ink,"ENVO_0010001, ENVO_00003074, ENVO_03510065"
ENVO_03510060,,,"A colorant fluid which is 1) manufactured and 2) composed of copper phthalocyanine, iron oxides, water, and biopolymers.",,,,,,,,gel ink,"ENVO_0010001, ENVO_00003074, ENVO_03510065"
ENVO_03510061,,,"A colorant fluid which is 1) manufactured and 2) primarily composed of soybean oil, as well as pigment, resin, and wax.",,,,,,,,soy ink,"ENVO_0010001, ENVO_00003074, ENVO_03510065"
ENVO_03510062,,,"A colorant fluid which is 1) manufactured, 2) primarily composed of water, as well as glycol, and dye, and 3) intended for use in inkjet printers.",,,,,,,,aqueous inkjet printer ink,"ENVO_0010001, ENVO_00003074, ENVO_03510065"
ENVO_01001876,,"Often indistinguishable from very small soft hail except for the size convention that hail must have a diameter greater than 5 mm. Sometimes distinguished by shape into conical, hexagonal, and lump (irregular) graupel.",Snow which is composed of heavily rimed particles typically 2 to 5 millimeters in diameter (0.1 to 0.2 inch).,"Subclass by shape into conical, hexagonal, and lump (irregular) graupel. Mark Parsons notes that the formational processes may be a source of useful differentia to distinguish graupel from other snow types.",,,,snow pellets,,,graupel,ENVO_01000406
ENVO_03000000,,Névé that survives a full season of ablation turns into firn.,"Partially compacted granular snow, which has undergone several cycles of melting and refreezing while being compacted, usually found on the atmosphere-exposed surface of a glacier.",,,névé,,,,envoPolar,neve,ENVO_01000406
ENVO_03000027,,Described as having a fluffy appearance.,Uncompacted snow containing trapped atmospheric gases.,,,,,,,envoPolar,powdery snow,ENVO_01000406
ENVO_03000002,,Firn derives from névé which has survived a full season of ablation and has undergone a metamorphic transition.,Granular snow which contains a proportion of fused granules formed through melting and re-thawing while being compacted by the weight of overlying material and which contains interconnected gaseous pores.,,,,,,,envoPolar,firn,ENVO_01000406
ENVO_03000108,,,"Snow which is cohesive, hard and overlies weaker snow.",,,,,,,envoPolar,slab snow,ENVO_01000406
ENVO_01001614,,,Permafrost which contains inclusions of water-based ice.,,,,,,,,ice-bearing permafrost,ENVO_00000134
ENVO_03000088,,Other hydrocarbon gasses such as carbon dioxide may also be present. These pockets can be sufficently large that the permafrost surface will undulate when pressure is applied.,Permafrost which contains pockets of trapped methane gas.,It would probably be better to assert parthood between the permafrost and cavities filled with gas rather than the gases themselves.,,bulgunyakh,,,,envoPolar,methane-laden permafrost,ENVO_00000134
ENVO_00002871,,,Soil which has been eroded and influenced by flowing water and redeposited in a non-marine setting.,,,,,,,,alluvial soil,ENVO_00001998
ENVO_00003082,,This could be demoted to an inferred class if issues with double inheritance arise.,A portion of enriched soil is a portion of soil with elevated levels of some material entity.,,,,,,,,enriched soil,ENVO_00001998
ENVO_00002229,,,"Arenosols are sandy soils, including both soils developed in residual sands after in situ weathering of usually quartz-rich sediments or rock, and soils developed in recently deposited sands such as dunes in deserts and beach lands.",,,psamment,,,,,arenosol,ENVO_00001998
ENVO_00002229,,,"Arenosols are sandy soils, including both soils developed in residual sands after in situ weathering of usually quartz-rich sediments or rock, and soils developed in recently deposited sands such as dunes in deserts and beach lands.",,,sandy soil,,,,,arenosol,ENVO_00001998
ENVO_00002231,,,"Alisols are soils that have a higher clay content in the subsoil than in the topsoil as a result of pedogenetic processes (especially clay migration) leading to an argic subsoil horizon. Alisols have a low base saturation at certain depths and high-activity clays throughout the argic horizon. They lack the albeluvic tonguing as in Albeluvisols. They occur predominantly in humid tropical, humid subtropical and warm temperate regions.",,,,,,,,alisol,ENVO_00001998
ENVO_00002232,,,"Andosols are soils that develop in volcanic ejecta or glasses under almost any climate (except under hyperarid climate conditions). However, Andosols may also develop in other silicate-rich materials under acid weathering in humid and perhumid climates.",,,,,,,,andosol,ENVO_00001998
ENVO_00002233,,,"Albeluvisols are soils that have, beginning within 1 m of the soil surface, a clay illuviation horizon with an irregular or broken upper boundary resulting in tonguing of bleached soil material into the illuviation horizon.",,,,,,,,albeluvisol,ENVO_00001998
ENVO_01001397,,"The word ""ultisol"" is derived from ""ultimate"", because ultisols were seen as the ultimate product of continuous weathering of minerals in a humid, temperate climate without new soil formation via glaciation.","A soil which has high mineral content and which contain no calcareous material, have less than 10% weatherable minerals its surface layer, and have less than 35% base saturation throughout its volume.",,,red clay soil,,,,,ultisol,ENVO_00001998
ENVO_00002235,,,"Cambisols combine soils with at least an incipient subsurface soil formation. Transformation of parent material is evident from structure formation and mostly brownish discoloration, increasing clay percentage, and/or carbonate removal.",,,,,,,,cambisol,ENVO_00001998
ENVO_01001526,,,Soil which is below the freezing point of water.,,,,,,,,frozen soil,ENVO_00001998
ENVO_00002237,,,Chernozems are soils with a thick black surface layer that is rich in organic matter.,,,,,black earth,,,chernozem,ENVO_00001998
ENVO_00002237,,,Chernozems are soils with a thick black surface layer that is rich in organic matter.,,,,,boroll,,,chernozem,ENVO_00001998
ENVO_00002238,,,"Durisols are associated mainly with old surfaces in arid and semi-arid environments and accommodate very shallow to moderately deep, moderately well- to well-drained soils that contain cemented secondary silica (SiO2) within 100 cm of the soil surface.",,,,,,,,durisol,ENVO_00001998
ENVO_00002239,,,Calcisols are soils in which there is substantial secondary accumulation of lime. Calcisols are common in highly calcareous parent materials and widespread in arid and semi-arid environments.,,,calcarosol,,,,,calcisol,ENVO_00001998
ENVO_00002240,,,"Kastanozems are dry grassland soils, among them the zonal soils of the short-grass steppe belt, south of the Eurasian tall-grass steppe belt with Chernozems. Kastanozems have a similar profile to that of Chernozems but the humus-rich surface horizon is thinner and not as dark as that of the Chernozems and they show more prominent accumulation of secondary carbonates.",,,,,,,,kastanozem,ENVO_00001998
ENVO_00002241,,,Leptosols are very shallow soils over continuous rock and soils that are extremely gravelly and/or stony. Leptosols are azonal soils and particularly common in mountainous regions.,,,,gravelly soil,,,,leptosol,ENVO_00001998
ENVO_00002241,,,Leptosols are very shallow soils over continuous rock and soils that are extremely gravelly and/or stony. Leptosols are azonal soils and particularly common in mountainous regions.,,,,stony soil,,,,leptosol,ENVO_00001998
ENVO_00002242,,,Lixisols are soils that have a higher clay content in the subsoil than in the topsoil as a result of pedogenetic processes (especially clay migration) leading to an argic subsoil horizon. Lixisols have a high base saturation and low-activity clays at certain depths.,,,,,,,,lixisol,ENVO_00001998
ENVO_00002243,,,"Histosols comprise soils formed in organic material. These vary from soils developed in predominantly moss peat in boreal, arctic and subarctic regions, via moss peat, reeds/ sedge peat (fen) and forest peat in temperate regions to mangrove peat and swamp forest peat in the humid tropics. Histosols are found at all altitudes, but the vast majority occurs in lowlands.",,,,,,,,histosol,ENVO_00001998
ENVO_00002244,,,"Gleysols are wetland soils that, unless drained, are saturated with groundwater for long enough periods to develop a characteristic gleyic colour pattern. This pattern is essentially made up of reddish, brownish or yellowish colours at ped surfaces and/or in the upper soil layer or layers, in combination with greyish/bluish colours inside the peds and/or deeper in the soil.",,,,,gley soil,,,gleysol,ENVO_00001998
ENVO_00002245,,,Gypsisols are soils with substantial secondary accumulation of gypsum (calcium sulfate). These soils are found in the driest parts of the arid climate zone.,,,,,,,,gypsisol,ENVO_00001998
ENVO_00002246,,,"Ferralsols represent the classical, deeply weathered, red or yellow soils of the humid tropics. These soils have diffuse horizon boundaries, a clay assemblage dominated by low-activity clays (mainly kaolinite) and a high content of sesquioxides.",,,,,oxisol,,,ferralsol,ENVO_00001998
ENVO_00002247,,,"Nitisols are deep, well-drained, red, tropical soils with diffuse horizon boundaries and a subsurface horizon with more than 30 percent clay and moderate to strong angular blocky structure elements that easily fall apart into characteristic shiny, polyhedric (nutty) elements. Weathering is relatively advanced but Nitisols are far more productive than most other red, tropical soils.",,,,,,,,nitisol,ENVO_00001998
ENVO_00002248,,,Luvisols are soils that have a higher clay content in the subsoil than in the topsoil as a result of pedogenetic processes (especially clay migration) leading to an argic subsoil horizon. Luvisols have high-activity clays throughout the argic horizon and a high base saturation at certain depths.,,,,,,,,luvisol,ENVO_00001998
ENVO_00002249,,,"Phaeozems accommodate soils of relatively wet grassland and forest regions in moderately continental climates. Phaeozems are much like Chernozems and Kastanozems but are leached more intensively. Consequently, they have dark, humus rich surface horizons that, in comparison with Chernozems and Kastanozems, are less rich in bases. Phaeozems may or may not have secondary carbonates but have a high base saturation in the upper metre of the soil.",,,,,,,,phaeozem,ENVO_00001998
ENVO_00002250,,,"Plinthosols are soils with plinthite, petroplinthite or pisoliths. Plinthite is an Fe-rich (in some cases also Mn-rich), humus-poor mixture of kaolinitic clay (and other products of strong weathering such as gibbsite) with quartz and other constituents that changes irreversibly to a layer with hard nodules, a hardpan or irregular aggregates on exposure to repeated wetting and drying. Petroplinthite is a continuous, fractured or broken sheet of connected, strongly cemented to indurated nodules or mottles. Pisoliths are discrete strongly cemented to indurated nodules. Both petroplinthite and pisoliths develop from plinthite by hardening.",,,,,,,,plinthosol,ENVO_00001998
ENVO_00002251,,,"Planosols are soils with a light-coloured, surface horizon that shows signs of periodic water stagnation and abruptly overlies a dense, slowly permeable subsoil with significantly more clay than the surface horizon.",,,,,,,,planosol,ENVO_00001998
ENVO_00002252,,,Solonchaks are soils that have a high concentration of soluble salts at some time in the year. Solonchaks are largely confined to the arid and semi-arid climate zones and to coastal regions in all climates.,,,,,,,,solonchak,ENVO_00001998
ENVO_00002253,,,Umbrisols are soils in which organic matter has accumulated within the mineral surface soil (in most cases with low base saturation) to the extent that it significantly affects the behaviour and utilization of the soil.,,,,,,,,umbrisol,ENVO_00001998
ENVO_00002254,,,"A soil in which there is a high content of expansive clay known as montmorillonite that forms deep cracks in drier seasons or years. Alternate shrinking and swelling causes self-mulching, where the soil material consistently mixes itself, causing vertisols to have an extremely deep A horizon and no B horizon.",,,,,,,,vertisol,ENVO_00001998
ENVO_00002255,,,"Solonetz are soils with a dense, strongly structured, clayey subsurface horizon that has a high proportion of adsorbed Na and/or Mg ions. Solonetz that contain free soda (Na2CO3) are strongly alkaline (field pH > 8.5).",,,,,,,,solonetz,ENVO_00001998
ENVO_00002256,,,"Regosols form a taxonomic remnant group containing all soils that could not be accommodated in any of the other RSGs. In practice, Regosols are very weakly developed mineral soils in unconsolidated materials that do not have a mollic or umbric horizon, are not very shallow or very rich in gravels (Leptosols), sandy (Arenosols) or with fluvic materials (Fluvisols). Regosols are extensive in eroding lands, particularly in arid and semi-arid areas and in mountainous terrain.",,,,,,,,regosol,ENVO_00001998
ENVO_00002257,,,"Podzols are soils with a typically ash-grey upper subsurface horizon, bleached by loss of organic matter and iron oxides, on top of a dark accumulation horizon with brown, reddish or black illuviated humus and/or reddish Fe compounds. Podzols occur in humid areas in the boreal and temperate zones and locally also in the tropics.",,,podsol,,podosolic soil,,,podzol,ENVO_00001998
