	IAO_0000115	hasExactSynonym	comment	label	IAO_0000116	hasBroadSynonym	hasNarrowSynonym	hasRelatedSynonym
ENVO_01000575	['A wax is an environmental material which is primarily composed of lipids or other organic compounds that consist of long alkyl chains. Waxes are are malleable near ambient temperatures and melt at approximately 45 degrees Celsius.']			['wax']				
ENVO_01000939	['An open system in non-equilibrium with its environment that exhibits time translation symmetry breaking.']	['space-time crystal']	['While the usage of the term is still debated, the general idea is that time crystals (which have been made using ytterbium ions and defect-bearing diamonds) break temporal symmetry analogously to how mineral crystal break spatial symmetry. While spatial crystals are inhomogeneous in space (vs a gas, which is distributed evenly) due to the ordering of their atoms, the properties of atoms in a time crystal are inhomogeneous in the time dimension.']	['time crystal']				
ENVO_01001069	['A material which is composed primarily of one or more pure metals and which shows their properties.']		['While this class allows for some degree of contamination by non-metal substances, the material represented should show at least some of the typical features of a pure metal: hardness (except for liquid metals), opacity, lustre, malleability, fusibility, ductile  and good electrical and thermal conductivity.']	['metallic material']	['Far more axiomatisation can be done should the qualities of metals be added to PATO or a similar quality ontology. However, note that there are many exceptions to the typical qualities of the majority of metals.']			['metal']
ENVO_01001154	['A material which is composed primarily of chemical elements and compounds with relatively low boiling points, equilibrium condensation temperatures below 1300 Kelvin, and which are part of the crust or atmosphere of a moon or planet.']		['Examples include nitrogen, water, carbon dioxide, ammonia, hydrogen, methane and sulfur dioxide. In astrogeology, these compounds, in their solid state, often comprise large proportions of the crusts of moons and dwarf planets.']	['volatile astrogeological material']	['Add and axiomatise with moon and lunar crust']			['volatile']
ENVO_01001156	['A material which is composed primarily of chemical elements and compounds which have equilibrium condensation temperatures above approximately 1300 Kelvin and which are part of the crust or atmosphere of a moon or planet.']		['The refractory group includes elements and compounds like metals and silicates (commonly termed rocks) which make up the bulk of the mass of the terrestrial planets and asteroids in the inner belt.']	['refractory astrogeological material']	['Add and axiomatise with moon and lunar crust']			['refractory material']
ENVO_01001202	['Soil or sediment which has been eroded and influenced by flowing water and redeposited in a non-marine setting.']			['alluvium']				
ENVO_01001560	['An environmental material which is primarily composed of a dispersed phase of insoluable particles, approximately between 1 nanometer and 1 micrometer in maximum dimension, distributed throughout a material acting as a medium of suspension.']		['Wikipedia lists several forms of colloidal suspension such as colloidal aerosols, colloidal emulsions, colloidal foams, colloidal dispersions, or hydrosols.']	['colloidal suspension']		['colloid']		
ENVO_01001649	['An environmental material which is denser than bromoform.']			['heavy fraction material']	['Axiomatising this with relational density qualities pinned to bromoform would be the next step.']			
ENVO_01001650	['An environmental material which is less dense than bromoform.']			['light fraction material']	['Axiomatising this with relational density qualities pinned to bromoform would be the next step.']			
ENVO_02000004	['Nesting material is an animal habitation consisting of matierals used to cushion, insulate and protect the young of the organism. The adult will use the material to form a protective structure to house and raise their young. Nests are built primarily by birds, but also by mammals, fish, insects and reptiles.']			['nesting material']				
FOODON_00002403	['Any substance that can be consumed by an organism to satisfy nutritional or other health needs, or to provide a social or organoleptic food experience']	['food', 'foodstuff', 'nourishment', 'sustenance']	"[""This class is the top of FOODON's main food product hierarchy which is described in the https://www.foodon.org website, and can be searched in lookup services like https://www.ebi.ac.uk/ols/""]"	['food material']				
ENVO_03000076	['A slurry of frazil, snow, and liquid water.']		['These new ice classes refer to both marine water and fresh water ice. If using this term for annotation, use it in conjunction with another envo term to express whether the ice is in a marine, freshwater, or other system.']	['slush ice']				
ENVO_03501259	['Environmental material consisting of waste products that have been discarded at an unsuitable location.']			['litter']				
ENVO_03501303	['Macromolecules that are obtained naturally from plants or animals.']			['natural-based polymer']				
ENVO_03501306	['A polyester film made from stretched polyethylene terephthalate (PET).']	['BoPET (Biaxially-oriented polyethylene terephthalate)']		['mylar']				
ENVO_03510015	['A polysaccharide that functions as an emulsifier, stabilizer, and thickener in mixtures.']			['xanthan gum']				
ENVO_03510016	['A naturally occurring plant-based gum, which functions as a viscous, odorless, tasteless, water-soluble mixture of polysaccharides that absorbs water to become a gel/paste.']	['shiraz gum', 'tragacanth gum']	['Tragacanth has many uses, including as an emulsifier, thickener, stabilizer, and texturant additive for foods, pharmaceuticals, and art materials.']	['tragacanth']				
ENVO_03510018	['A solid or highly viscous plant or synthetic based substance that is typically convertible into polymers.']			['resin']				
ENVO_03510023	['A resin secreted by the female lac bug, which is dissolved in alcohol to be used as a brush-on colorant, food glaze, and wood finish.']	['shellack']		['shellac']				
ENVO_03510037	['Any material containing unstable atoms that emit ionizing radiation as it decays.']			['radioactive material']				
ENVO_03510038	['An environmental material which is primarily composed of cyanoacrolate.']		['Cyanoacrylates have industrial, medical, and household uses. A strong fast-acting adhesive which is an ester of cyanoacrylic acid.']	['volume of cyanoacrylate']				
ENVO_03510064	['An environmental material which is composed primarily of gases and particles produced by the combustion of petroleum fuels.']			['emissions from petroleum combustion']				
ENVO_03600013	['An environmental material which consists of either loose sands or partially consolidated sandstone, containing a naturally occurring mixture of sand, clay, and water, soaked with a dense and extremely viscous form of petroleum.']	['crude bitumen', 'oil sands', 'tar sands']		['bituminous sand']	"['TODO: create an astonomical body part \'bituminous sands"" and assert composed primarily of realtionship. Xref https://github.com/EnvironmentOntology/envo/issues/1154.\n\nTREATED THIS as a material entity. could add something like ""oil sands deposit"" as a geospatial location later.']"			
ENVO_03600017	['An environmental material which is composed of insoluble solid particles suspended in a liquid.']			['slurry']	"[""term requester also included <denser than water> and <usually suspended in water>, but they may only be found in wikipedia's definition""]"			
ENVO_06105003	['An environmental material which is capable of, repeatedly, becoming plastic when heated and hardening again when cooled.']			['thermoplastic material']				
ENVO_06105101	['An environnmental material which 1) is composed primarily of polymers with high molecular mass and 2) once deformed does not spontaneously return to its original shape.']	['Plastik', 'plastica', '塑膠']	"['""High molecular mass"" can be ambiguous as it does not set a threshold for what is considered ""high"". Here we make no commitment to a threshold.']"	['plastic']			['Kunststoff']	
ENVO_00000003	['Mine tailings are the materials left over after the process of separating the valuable fraction from the uneconomic fraction (gangue) of an ore.']			['mine tailing']		['tailing']		
ENVO_00002044	['The residual semi-solid material left from domestic or industrial processes, or wastewater treatment processes.']			['sludge']				
ENVO_00002230	['Anthrosols comprise soils that have been modified profoundly through human activities, such as addition of organic materials or household wastes, irrigation and cultivation.']			['anthrosol']				
ENVO_00002870	['A natural building material mode from sand, clay, water, and some kind of fibrous or organic material (sticks, straw, and/or manure).']			['adobe']				
ENVO_01000458	['Concrete is a composite material composed of an aggregate bonded together with a fluid cement which hardens over time.']		"['Missing the class for ""aggregate"" - tricky to define what it is, exactly. Again, seems more like some sort of material/disposition hybrid.']"	['concrete']				
ENVO_01000462	['Masonry cement is a substance used in construction that has the disposition to set and harden and thus may be used to bind materials together.']		"['""Cement"" refers more to a disposition than a specific material.']"	['masonry cement']		['cement']		
ENVO_01000461	['Refined asphalt is a sticky, black, and highly viscous liquid or semi-solid with a boiling point above 500 degrees Celsius, obtained from the fractional distillation of crude oil.']	['refined bitumen']		['refined asphalt']				
ENVO_01000474	['A portion of brick material is a material derived from a brick which is composed of  kneaded clay-bearing soil, expanded clay aggregate, sand and lime, or concrete that has been fire-hardened or air-dried.']			['brick material']				
ENVO_01000476	['Plaster is a building material which has the disposition to harden when it reacts with water, liberating heat through crystallization. Plaster is manufactured as a dry powder and is mixed with water to form a paste when used.']	['stucco', 'render']		['plaster']				
ENVO_01001869	['A liquid environmental material which is composed primarily of water ammended with thickening agents and proppants.']			['fracking liquid']			['fracking water']	
ENVO_02000123	['Any liquid, liquefiable, or mastic composition that, after application to a substrate in a thin layer, converts to a solid film. It is most commonly used to protect, color, or provide texture to objects.']			['paint']				
ENVO_03501253	['A soft sulfate mineral composed of calcium sulfate dihydrate.']			['gypsum']				
ENVO_03501324	['A stable dispersion (emulsion) of polymer microparticles in an aqueous medium.']	['Natural rubber, India rubber, Gum elastic, Non-vulcanized rubber']	['Latex is made by some plants, but synthetic latexes can be manufactured as well.']	['latex']				
ENVO_03510055	['An environmental material which is composed of elastic polymers mixed in a solvent.']	['cow gum']	['Solvents typically used include acetone, hexane, heptane or toluene.']	['rubber cement']				
ENVO_03510056	['An environmental material which is 1) composed primarily of methyl cellulose and water, and 2) formulated to fix wallpaper to walls.']	['wallpaper adhesive', 'wallpaper paste']		['methyl cellulose paste']				
ENVO_03510057	['An environmental material which is 1) manufactured and 2) primarily composed of hydrogen peroxide and ammonia, and 3) when applied to hair, can alter the natural hair pigments for 6-8 weeks.']			['permanent hair dye']				['hair color']
ENVO_03510058	['A colorant fluid which is 1) manufactured and 2) composed of alcohol, titanium dioxide, and propylene glycol.']			['pharmaceutical ink']				
ENVO_03510060	['A colorant fluid which is 1) manufactured and 2) composed of copper phthalocyanine, iron oxides, water, and biopolymers.']			['gel ink']				
ENVO_03510061	['A colorant fluid which is 1) manufactured and 2) primarily composed of soybean oil, as well as pigment, resin, and wax.']			['soy ink']				
ENVO_03510062	['A colorant fluid which is 1) manufactured, 2) primarily composed of water, as well as glycol, and dye, and 3) intended for use in inkjet printers.']			['aqueous inkjet printer ink']				
ENVO_01001876	['Snow which is composed of heavily rimed particles typically 2 to 5 millimeters in diameter (0.1 to 0.2 inch).']		['Often indistinguishable from very small soft hail except for the size convention that hail must have a diameter greater than 5 mm. Sometimes distinguished by shape into conical, hexagonal, and lump (irregular) graupel.']	['graupel']	['Subclass by shape into conical, hexagonal, and lump (irregular) graupel. Mark Parsons notes that the formational processes may be a source of useful differentia to distinguish graupel from other snow types.']			['snow pellets']
ENVO_03000000	['Partially compacted granular snow, which has undergone several cycles of melting and refreezing while being compacted, usually found on the atmosphere-exposed surface of a glacier.']	['névé']	['Névé that survives a full season of ablation turns into firn.']	['neve']				
ENVO_03000027	['Uncompacted snow containing trapped atmospheric gases.']		['Described as having a fluffy appearance.']	['powdery snow']				
ENVO_03000002	['Granular snow which contains a proportion of fused granules formed through melting and re-thawing while being compacted by the weight of overlying material and which contains interconnected gaseous pores.']		['Firn derives from névé which has survived a full season of ablation and has undergone a metamorphic transition.']	['firn']				
ENVO_03000108	['Snow which is cohesive, hard and overlies weaker snow.']			['slab snow']				
ENVO_01001614	['Permafrost which contains inclusions of water-based ice.']			['ice-bearing permafrost']				
ENVO_03000088	['Permafrost which contains pockets of trapped methane gas.']	['bulgunyakh']	['Other hydrocarbon gasses such as carbon dioxide may also be present. These pockets can be sufficently large that the permafrost surface will undulate when pressure is applied.']	['methane-laden permafrost']	['It would probably be better to assert parthood between the permafrost and cavities filled with gas rather than the gases themselves.']			
ENVO_00002871	['Soil which has been eroded and influenced by flowing water and redeposited in a non-marine setting.']			['alluvial soil']				
ENVO_00003082	['A portion of enriched soil is a portion of soil with elevated levels of some material entity.']		['This could be demoted to an inferred class if issues with double inheritance arise.']	['enriched soil']				
ENVO_00002229	['Arenosols are sandy soils, including both soils developed in residual sands after in situ weathering of usually quartz-rich sediments or rock, and soils developed in recently deposited sands such as dunes in deserts and beach lands.']	['psamment', 'sandy soil']		['arenosol']				
ENVO_00002231	['Alisols are soils that have a higher clay content in the subsoil than in the topsoil as a result of pedogenetic processes (especially clay migration) leading to an argic subsoil horizon. Alisols have a low base saturation at certain depths and high-activity clays throughout the argic horizon. They lack the albeluvic tonguing as in Albeluvisols. They occur predominantly in humid tropical, humid subtropical and warm temperate regions.']			['alisol']				
ENVO_00002232	['Andosols are soils that develop in volcanic ejecta or glasses under almost any climate (except under hyperarid climate conditions). However, Andosols may also develop in other silicate-rich materials under acid weathering in humid and perhumid climates.']			['andosol']				
ENVO_00002233	['Albeluvisols are soils that have, beginning within 1 m of the soil surface, a clay illuviation horizon with an irregular or broken upper boundary resulting in tonguing of bleached soil material into the illuviation horizon.']			['albeluvisol']				
ENVO_01001397	['A soil which has high mineral content and which contain no calcareous material, have less than 10% weatherable minerals its surface layer, and have less than 35% base saturation throughout its volume.']	['red clay soil']	"['The word ""ultisol"" is derived from ""ultimate"", because ultisols were seen as the ultimate product of continuous weathering of minerals in a humid, temperate climate without new soil formation via glaciation.']"	['ultisol']				
ENVO_00002235	['Cambisols combine soils with at least an incipient subsurface soil formation. Transformation of parent material is evident from structure formation and mostly brownish discoloration, increasing clay percentage, and/or carbonate removal.']			['cambisol']				
ENVO_01001526	['Soil which is below the freezing point of water.']			['frozen soil']				
ENVO_00002237	['Chernozems are soils with a thick black surface layer that is rich in organic matter.']			['chernozem']				['black earth', 'boroll']
ENVO_00002238	['Durisols are associated mainly with old surfaces in arid and semi-arid environments and accommodate very shallow to moderately deep, moderately well- to well-drained soils that contain cemented secondary silica (SiO2) within 100 cm of the soil surface.']			['durisol']				
ENVO_00002239	['Calcisols are soils in which there is substantial secondary accumulation of lime. Calcisols are common in highly calcareous parent materials and widespread in arid and semi-arid environments.']	['calcarosol']		['calcisol']				
ENVO_00002240	['Kastanozems are dry grassland soils, among them the zonal soils of the short-grass steppe belt, south of the Eurasian tall-grass steppe belt with Chernozems. Kastanozems have a similar profile to that of Chernozems but the humus-rich surface horizon is thinner and not as dark as that of the Chernozems and they show more prominent accumulation of secondary carbonates.']			['kastanozem']				
ENVO_00002241	['Leptosols are very shallow soils over continuous rock and soils that are extremely gravelly and/or stony. Leptosols are azonal soils and particularly common in mountainous regions.']			['leptosol']			['gravelly soil', 'stony soil']	
ENVO_00002242	['Lixisols are soils that have a higher clay content in the subsoil than in the topsoil as a result of pedogenetic processes (especially clay migration) leading to an argic subsoil horizon. Lixisols have a high base saturation and low-activity clays at certain depths.']			['lixisol']				
ENVO_00002243	['Histosols comprise soils formed in organic material. These vary from soils developed in predominantly moss peat in boreal, arctic and subarctic regions, via moss peat, reeds/ sedge peat (fen) and forest peat in temperate regions to mangrove peat and swamp forest peat in the humid tropics. Histosols are found at all altitudes, but the vast majority occurs in lowlands.']			['histosol']				
ENVO_00002244	['Gleysols are wetland soils that, unless drained, are saturated with groundwater for long enough periods to develop a characteristic gleyic colour pattern. This pattern is essentially made up of reddish, brownish or yellowish colours at ped surfaces and/or in the upper soil layer or layers, in combination with greyish/bluish colours inside the peds and/or deeper in the soil.']			['gleysol']				['gley soil']
ENVO_00002245	['Gypsisols are soils with substantial secondary accumulation of gypsum (calcium sulfate). These soils are found in the driest parts of the arid climate zone.']			['gypsisol']				
ENVO_00002246	['Ferralsols represent the classical, deeply weathered, red or yellow soils of the humid tropics. These soils have diffuse horizon boundaries, a clay assemblage dominated by low-activity clays (mainly kaolinite) and a high content of sesquioxides.']			['ferralsol']				['oxisol']
ENVO_00002247	['Nitisols are deep, well-drained, red, tropical soils with diffuse horizon boundaries and a subsurface horizon with more than 30 percent clay and moderate to strong angular blocky structure elements that easily fall apart into characteristic shiny, polyhedric (nutty) elements. Weathering is relatively advanced but Nitisols are far more productive than most other red, tropical soils.']			['nitisol']				
ENVO_00002248	['Luvisols are soils that have a higher clay content in the subsoil than in the topsoil as a result of pedogenetic processes (especially clay migration) leading to an argic subsoil horizon. Luvisols have high-activity clays throughout the argic horizon and a high base saturation at certain depths.']			['luvisol']				
ENVO_00002249	['Phaeozems accommodate soils of relatively wet grassland and forest regions in moderately continental climates. Phaeozems are much like Chernozems and Kastanozems but are leached more intensively. Consequently, they have dark, humus rich surface horizons that, in comparison with Chernozems and Kastanozems, are less rich in bases. Phaeozems may or may not have secondary carbonates but have a high base saturation in the upper metre of the soil.']			['phaeozem']				
ENVO_00002250	['Plinthosols are soils with plinthite, petroplinthite or pisoliths. Plinthite is an Fe-rich (in some cases also Mn-rich), humus-poor mixture of kaolinitic clay (and other products of strong weathering such as gibbsite) with quartz and other constituents that changes irreversibly to a layer with hard nodules, a hardpan or irregular aggregates on exposure to repeated wetting and drying. Petroplinthite is a continuous, fractured or broken sheet of connected, strongly cemented to indurated nodules or mottles. Pisoliths are discrete strongly cemented to indurated nodules. Both petroplinthite and pisoliths develop from plinthite by hardening.']			['plinthosol']				
ENVO_00002251	['Planosols are soils with a light-coloured, surface horizon that shows signs of periodic water stagnation and abruptly overlies a dense, slowly permeable subsoil with significantly more clay than the surface horizon.']			['planosol']				
ENVO_00002252	['Solonchaks are soils that have a high concentration of soluble salts at some time in the year. Solonchaks are largely confined to the arid and semi-arid climate zones and to coastal regions in all climates.']			['solonchak']				
ENVO_00002253	['Umbrisols are soils in which organic matter has accumulated within the mineral surface soil (in most cases with low base saturation) to the extent that it significantly affects the behaviour and utilization of the soil.']			['umbrisol']				
ENVO_00002254	['A soil in which there is a high content of expansive clay known as montmorillonite that forms deep cracks in drier seasons or years. Alternate shrinking and swelling causes self-mulching, where the soil material consistently mixes itself, causing vertisols to have an extremely deep A horizon and no B horizon.']			['vertisol']				
ENVO_00002255	['Solonetz are soils with a dense, strongly structured, clayey subsurface horizon that has a high proportion of adsorbed Na and/or Mg ions. Solonetz that contain free soda (Na2CO3) are strongly alkaline (field pH > 8.5).']			['solonetz']				
ENVO_00002256	['Regosols form a taxonomic remnant group containing all soils that could not be accommodated in any of the other RSGs. In practice, Regosols are very weakly developed mineral soils in unconsolidated materials that do not have a mollic or umbric horizon, are not very shallow or very rich in gravels (Leptosols), sandy (Arenosols) or with fluvic materials (Fluvisols). Regosols are extensive in eroding lands, particularly in arid and semi-arid areas and in mountainous terrain.']			['regosol']				
ENVO_00002257	['Podzols are soils with a typically ash-grey upper subsurface horizon, bleached by loss of organic matter and iron oxides, on top of a dark accumulation horizon with brown, reddish or black illuviated humus and/or reddish Fe compounds. Podzols occur in humid areas in the boreal and temperate zones and locally also in the tropics.']	['podsol']		['podzol']				['podosolic soil']
ENVO_00002258	['A soil which is composed of approximately equal proportions of sand and silt, with a smaller proportion of clay.']		['Some authorities consider loam to be any soil material that contains 7 to 27% clay, 28 to 50% silt, and less than 52% sand.']	['loam']				
ENVO_00002259	['Soil which is part of an ecosystem used for agricultural activities.']			['agricultural soil']				
ENVO_00005786	['Soil which is part of some elevated land.']			['upland soil']				
ENVO_00002261	['A portion of soil which is found in a forested area.']			['forest soil']				
ENVO_00002262	['Soil which is primarily composed of clay.']			['clay soil']				
ENVO_00002263	['A portion of soil which is found in a garden.']			['garden soil']				
ENVO_00002273	['Fluvisols accommodate genetically young, azonal soils in alluvial deposits.']			['fluvisol']				
ENVO_00002274	['Stagnosols are soils with a perched water table showing redoximorphic features caused by surface water. Stagnosols are periodically wet and mottled in the topsoil and subsoil, with or without concretions and/or bleaching.']			['stagnosol']				
ENVO_00002275	['Technosols are soils whose properties and pedogenesis are dominated by their technical origin. They contain a significant amount of artefacts (something in the soil recognizably made or extracted from the earth by humans), or are sealed by technic hard rock (material created by humans, having properties unlike natural rock). They include soils from wastes (landfills, sludge, cinders, mine spoils and ashes), pavements with their underlying unconsolidated materials, soils with geomembranes and constructed soils in human-made materials.']			['technosol']				
ENVO_00005755	['Soil which is part of an agricultural field.']			['field soil']				
ENVO_00005741	['Soil which is part of an alpine environment.']			['alpine soil']				
ENVO_00005742	['Soil which is capable of supporting the growth of crops.']			['arable soil']				
ENVO_00005743	['A portion of soil which is found in a roadside area.']			['roadside soil']				
ENVO_00005750	['A portion of soil which is found in a grassland.']			['grassland soil']				
ENVO_00005747	['Soil which is derived from compost.']			['compost soil']				
ENVO_00005748	['Soil which has little to no water content and in which minerals and other soluble chemical entities have either bonded or become adsorbed to sold particles due to insufficient water availability.']			['dry soil']				
ENVO_00005749	['A portion of soil which is part of a cropland or a rangeland biome.']			['farm soil']				
ENVO_00005751	['Soil which is part of a densely forested area subject to tropical climate patterns.']			['jungle soil']				
ENVO_00005752	['Soil which is part of a sawah, a wet or irrigated rice field.']			['sawah soil']				
ENVO_00005754	['Soil which has been amended with fertilizers.']			['fertilized soil']				
ENVO_00005756	['Soil which is formulated to promote the growth of grasses or other plants used to establish managed areas of vegetation.']			['lawn soil']				
ENVO_00005760	['Soil which has been transformed through a combustion process.']			['burned soil']				['burnt soil']
ENVO_00005761	['Soil which is part of a meadow.']			['meadow soil']				
ENVO_00005764	['Soil which is adjacent to a pond.']			['pond soil']				
ENVO_00005766	['Soil which has been amended with mineral additives to increase its pH.']		['Common liming agents include calcium- and magnesium-rich materials in various forms, including marl, chalk, limestone, burnt lime or hydrated lime. Liming often improves plant growth and increases the activity of soil bacteria, but oversupply may result in harm to plant life.\nLiming can also improve aggregate stability on clay soils. For this purpose structure lime, products containing calcium oxide (CaO) or hydroxide (Ca(OH)2) in mixes with calcium carbonate (CaCO3), are often used. Structure liming can reduce losses of clay and nutrients from soil aggregates.']	['limed soil']				
ENVO_00005767	['Soil which has, as a part, a portion of either fresh or processed animal manure.']			['manured soil']				
ENVO_00005768	['Soil which has properties to which plants in the Family Orchidaceae have adapted, including increased levels of aeration and drainage.']			['orchid soil']				
ENVO_00005771	['Soil which is composed of a large proportion of mud, thus having properties resembling mud.']			['muddy soil']				
ENVO_00005773	['Soil which is found in a pasture and in which vegetation, such as the grass used for the grazing of ungulates, grows.']			['pasture soil']				
ENVO_00005778	['Soil which is part of a tropical environment.']			['tropical soil']				
ENVO_00005780	['A portion of soil which is found in a greenhouse.']			['greenhouse soil']				
ENVO_00005781	['Soil which is has been heated such that its chemical, physical, or biological properties are destabilised.']			['heat stressed soil']				
ENVO_00005782	['Soil which is formed from avian fecal matter.']			['ornithogenic soil']				
ENVO_00005790	['Soil which has 1) low concentrations of nutrients and humus, 2) low water retention capacity, 3) textural variation from sand to clay, 4) a porous and friable structure, and 5) low concentrations of soluble salts.']		['Red soil typically derives from crystalline rock in warm, temperate, moist climates under deciduous or mixed forest. It has thin organic and organic-mineral layers, a black brown leached layer resting on an illuvium red layer. The majority of red soils have a loamy texture. Their chemical composition varies across regions, but often includes non-soluble material 90.47%, iron 3.61%, aluminium 2.92%, organic matter 1.01%, magnesium 0.70%, lime 0.56%, carbon dioxide 0.30%, potash 0.24%, soda 0.12%, phosphorus 0.09% and nitrogen 0.08%. \n\nOn the uplands, they are thin, poor and gravelly, sandy, or stony and porous, light-colored soils on which food crops like bajra can be grown. In contrast, on the lower plains and valleys they are rich, deep, dark colored fertile loam on which, under irrigation, can produce excellent crops like cotton, wheat, pulses, tobacco, jowar, linseed, millet, potatoes and fruits.']	['red soil']				
ENVO_00005802	['Soil that is not penetrated by the root systems of plants.']			['bulk soil']				
ENVO_01001185	['Soil which has increased levels of molecules or ions capable of donating a hydron (proton or hydrogen ion) to other chemical entities, or, alternatively, capable of forming covalent bonds with other chemicals via the acceptance of an electron pair, resulting in a bulk pH measurement of less than 7.']			['acidic soil']				
ENVO_01001616	['Soil which is directly exposed to the atmosphere - with no intervening layer of plant life or other cover - and thus the effects of weathering and erosion.']			['bare soil']				
ENVO_01001638	['Soil in which segregated ice will form (causing frost heave) under the required conditions of moisture supply and temperature.']			['frost-susceptible soil']	['The label would apply to all soils in which frost can form, however, the definition of this class suggests that ice segregation is a key property that differentiates this type of soil from others.']			
ENVO_02000059	['A soil consisting of the upper layer of soil on the surface consisting of loose material capable of supporting life composed of a mixture of mineral and organic matter.']	['topsoil']		['surface soil']				
ENVO_02000138	['Soil which is located in a mangrove biome.']	['mangrove soil']	['Mangrove soils are typically saline, anoxic, acidic and frequently waterlogged.']	['mangrove biome soil']				
ENVO_06105205	['A soil which has a high bulk density and/or a low porosity. A compacted soil has a reduced rate of both water infiltration and drainage']			['compacted soil']				
